"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Manwlakis\Desktop\portofolio-test\src\App.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 2, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\AceSVG.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\AgeSVG.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\Brain.jsx", "JavaScript JSX", 60, 0, 0, 0, 0, 0, 60
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ClientsSVG.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 2, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CoffeeBeanSVG.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 4, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CompassSVG.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CopySVG.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CssSVG.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 1, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\EmailSVG.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\GitHub.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HandshakeSVG.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HospitalSVG.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 7
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HtmlSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\Instagram.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\JavascriptSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\KotlinSVG.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 6, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\LinkedIn.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PhpSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PlugSVG.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 2, 18
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PythonSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ReactSVG.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\SassSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 1, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ServicesSVG.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ShrugSVG.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 4, 16
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\StarSVG.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 1, 14
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\SuitcaseSVG.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\TailwindcssSVG.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 11
