"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Manwlakis\Desktop\portofolio-test\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Manwlakis\Desktop\portofolio-test\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Manwlakis\Desktop\portofolio-test\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\package-lock.json", "JSON", 0, 0, 0, 5158, 0, 0, 0, 0, 1, 5159
"c:\Users\Manwlakis\Desktop\portofolio-test\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\Manwlakis\Desktop\portofolio-test\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\AceSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\AgeSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\Brain.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 60
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ClientsSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CoffeeBeanSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CompassSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CopySVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\CssSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\EmailSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\GitHub.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HandshakeSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HospitalSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\HtmlSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\Instagram.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
